kind,note_id,movement,page,system,bar,group,onset_ticks,duration_ticks,rest_bars,pitch,midi,tie_to_next,tie_from_previous
note,tb2-p09-s09-n013,4,9,9,350,6,2792,2,,G3,55,False,
rest,,4,9,9,350,6,2794,2,,,,,
note,tb2-p09-s09-n014,4,9,9,350,6,2796,2,,E3,52,False,
rest,,4,9,9,350,6,2798,2,,,,,
note,tb2-p09-s09-n015,4,9,9,351,7,2800,2,,G3,55,False,
note,tb2-p09-s09-n016,4,9,9,351,7,2802,2,,G#3,56,False,
note,tb2-p09-s09-n017,4,9,9,351,7,2804,2,,A3,57,False,
note,tb2-p09-s09-n018,4,9,9,351,7,2806,2,,F#3,54,False,
note,tb2-p09-s09-n019,4,9,9,352,8,2808,2,,G3,55,False,
note,tb2-p09-s09-n020,4,9,9,352,8,2810,2,,A3,57,False,
note,tb2-p09-s09-n021,4,9,9,352,8,2812,2,,G3,55,False,
note,tb2-p09-s09-n022,4,9,9,352,8,2814,2,,A3,57,False,
note,tb2-p09-s10-n001,4,9,10,353,1,2816,2,,G3,55,False,
note,tb2-p09-s10-n002,4,9,10,353,1,2818,2,,A3,57,False,
note,tb2-p09-s10-n003,4,9,10,353,1,2820,2,,G3,55,False,
note,tb2-p09-s10-n004,4,9,10,353,1,2822,2,,A3,57,False,
note,tb2-p09-s10-n005,4,9,10,354,2,2824,2,,G3,55,False,
rest,,4,9,10,354,2,2826,2,,,,,
rest,,4,9,10,354,2,2828,4,,,,,
rest,,4,9,10,355,3,2832,24,3,,,,
note,tb2-p09-s10-n006,4,9,10,358,4,2856,3,,G3,55,False,
note,tb2-p09-s10-n007,4,9,10,358,4,2859,1,,B3,59,False,
note,tb2-p09-s10-n008,4,9,10,358,4,2860,2,,D4,62,False,
note,tb2-p09-s10-n009,4,9,10,358,4,2862,2,,D4,62,False,
note,tb2-p09-s10-n010,4,9,10,359,5,2864,4,,D4,62,False,
note,tb2-p09-s10-n011,4,9,10,359,5,2868,2,,E4,64,False,
note,tb2-p09-s10-n012,4,9,10,359,5,2870,2,,D4,62,False,
note,tb2-p09-s10-n013,4,9,10,360,6,2872,4,,D4,62,False,
note,tb2-p09-s10-n014,4,9,10,360,6,2876,2,,E4,64,False,
note,tb2-p09-s10-n015,4,9,10,360,6,2878,2,,D4,62,False,
note,tb2-p09-s10-n016,4,9,10,361,7,2880,1,,D4,62,False,
note,tb2-p09-s10-n017,4,9,10,361,7,2881,1,,C4,60,False,
note,tb2-p09-s10-n018,4,9,10,361,7,2882,1,,B3,59,False,
note,tb2-p09-s10-n019,4,9,10,361,7,2883,1,,A3,57,False,
note,tb2-p09-s10-n020,4,9,10,361,7,2884,1,,G3,55,False,
note,tb2-p09-s10-n021,4,9,10,361,7,2885,1,,F#3,54,False,
note,tb2-p09-s10-n022,4,9,10,361,7,2886,1,,E3,52,False,
note,tb2-p09-s10-n023,4,9,10,361,7,2887,1,,D3,50,False,
note,tb2-p09-s11-n001,4,9,11,362,1,2888,2,,G3,55,False,
rest,,4,9,11,362,1,2890,2,,,,,
note,tb2-p09-s11-n002,4,9,11,362,1,2892,2,,F3,53,False,
rest,,4,9,11,362,1,2894,2,,,,,
note,tb2-p09-s11-n003,4,9,11,363,2,2896,2,,Ab3,56,False,
rest,,4,9,11,363,2,2898,2,,,,,
note,tb2-p09-s11-n004,4,9,11,363,2,2900,2,,A3,57,False,
rest,,4,9,11,363,2,2902,2,,,,,
note,tb2-p09-s11-n005,4,9,11,364,3,2904,2,,G3,55,False,
rest,,4,9,11,364,3,2906,2,,,,,
note,tb2-p09-s11-n006,4,9,11,364,3,2908,2,,F3,53,False,
rest,,4,9,11,364,3,2910,2,,,,,
note,tb2-p09-s11-n007,4,9,11,365,4,2912,2,,Ab3,56,False,
rest,,4,9,11,365,4,2914,2,,,,,
note,tb2-p09-s11-n008,4,9,11,365,4,2916,2,,A3,57,False,
rest,,4,9,11,365,4,2918,2,,,,,
note,tb2-p09-s11-n009,4,9,11,366,5,2920,2,,B3,59,False,
rest,,4,9,11,366,5,2922,2,,,,,
note,tb2-p09-s11-n010,4,9,11,366,5,2924,2,,Bb3,58,False,
rest,,4,9,11,366,5,2926,2,,,,,
note,tb2-p09-s11-n011,4,9,11,367,6,2928,2,,C4,60,False,
rest,,4,9,11,367,6,2930,2,,,,,
note,tb2-p09-s11-n012,4,9,11,367,6,2932,2,,C4,60,False,
rest,,4,9,11,367,6,2934,2,,,,,
note,tb2-p09-s11-n013,4,9,11,368,7,2936,2,,B3,59,False,
rest,,4,9,11,368,7,2938,2,,,,,
note,tb2-p09-s11-n014,4,9,11,368,7,2940,2,,Bb3,58,False,
rest,,4,9,11,368,7,2942,2,,,,,
note,tb2-p09-s11-n015,4,9,11,369,8,2944,2,,C4,60,False,
rest,,4,9,11,369,8,2946,2,,,,,
note,tb2-p09-s11-n016,4,9,11,369,8,2948,2,,C4,60,False,
rest,,4,9,11,369,8,2950,2,,,,,
note,tb2-p09-s12-n001,4,9,12,370,1,2952,4,,G3,55,False,
note,tb2-p09-s12-n002,4,9,12,370,1,2956,4,,F#3,54,False,
note,tb2-p09-s12-n003,4,9,12,371,2,2960,6,,F3,53,False,
note,tb2-p09-s12-n004,4,9,12,371,2,2966,2,,E3,52,False,
note,tb2-p09-s12-n005,4,9,12,372,3,2968,4,,Eb3,51,False,
note,tb2-p09-s12-n006,4,9,12,372,3,2972,4,,E3,52,False,
note,tb2-p09-s12-n007,4,9,12,373,4,2976,6,,F3,53,False,
note,tb2-p09-s12-n008,4,9,12,373,4,2982,2,,F#3,54,False,
note,tb2-p09-s12-n009,4,9,12,374,5,2984,4,,G3,55,False,
note,tb2-p09-s12-n010,4,9,12,374,5,2988,4,,B3,59,False,
note,tb2-p09-s12-n011,4,9,12,375,6,2992,6,,D4,62,False,
note,tb2-p09-s12-n012,4,9,12,375,6,2998,2,,D4,62,False,
note,tb2-p09-s12-n013,4,9,12,376,7,3000,4,,D4,62,False,
note,tb2-p09-s12-n014,4,9,12,376,7,3004,2,,B3,59,False,
note,tb2-p09-s12-n015,4,9,12,376,7,3006,2,,D4,62,False,
note,tb2-p09-s12-n016,4,9,12,377,8,3008,4,,E4,64,False,
note,tb2-p09-s12-n017,4,9,12,377,8,3012,4,,B3,59,False,
note,tb2-p09-s12-n018,4,9,12,378,9,3016,2,,B3,59,False,
rest,,4,9,12,378,9,3018,2,,,,,
rest,,4,9,12,378,9,3020,4,,,,,
note,tb2-p09-s13-n001,4,9,13,379,1,3024,2,,B3,59,False,
rest,,4,9,13,379,1,3026,2,,,,,
rest,,4,9,13,379,1,3028,4,,,,,
note,tb2-p09-s13-n002,4,9,13,380,2,3032,2,,B3,59,False,
rest,,4,9,13,380,2,3034,2,,,,,
rest,,4,9,13,380,2,3036,4,,,,,
note,tb2-p09-s13-n003,4,9,13,381,3,3040,2,,B3,59,False,
rest,,4,9,13,381,3,3042,2,,,,,
rest,,4,9,13,381,3,3044,4,,,,,
note,tb2-p09-s13-n004,4,9,13,382,4,3048,4,,B3,59,False,
note,tb2-p09-s13-n005,4,9,13,382,4,3052,2,,B3,59,False,
rest,,4,9,13,382,4,3054,1,,,,,
note,tb2-p09-s13-n006,4,9,13,382,4,3055,1,,B3,59,False,
note,tb2-p09-s13-n007,4,9,13,383,5,3056,2,,B3,59,False,
rest,,4,9,13,383,5,3058,2,,,,,
note,tb2-p09-s13-n008,4,9,13,383,5,3060,2,,B3,59,False,
rest,,4,9,13,383,5,3062,2,,,,,
note,tb2-p09-s13-n009,4,9,13,384,6,3064,8,,B3,59,True,
note,tb2-p09-s13-n010,4,9,13,385,7,3072,8,,B3,59,False,True
note,tb2-p09-s13-n011,4,9,13,386,8,3080,2,,B3,59,False,
rest,,4,9,13,386,8,3082,2,,,,,
note,tb2-p09-s13-n012,4,9,13,386,8,3084,2,,B3,59,False,
rest,,4,9,13,386,8,3086,2,,,,,
rest,,4,9,13,387,9,3088,8,1,,,,
